DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Angelina's Restaurant & Bar,5/21/2020 12:55:13 PM,8739298425300035,Sarah Voehl,5/21/2020 12:55:13 PM,5/21/2020 6:27:49 PM,5/22/2020 8:15:22 AM,,Approved,Ingage iPayments,
"Atwell, LLC",5/5/2021 9:23:17 AM,8739298425300048,Lisa Degnan,5/5/2021 9:23:17 AM,5/14/2021 4:43:44 PM,5/17/2021 4:12:49 PM,,Approved,Ingage iPayments,
"Boulder Associates, Inc.",12/10/2020 2:37:17 PM,8739298425300039,Sarah Voehl,12/10/2020 2:37:17 PM,12/15/2020 4:52:01 PM,12/16/2020 4:40:01 PM,,Approved,Ingage iPayments,
Brew Ales & Eats,10/31/2019 3:38:45 PM,8739296850300524,Sarah Voehl,10/31/2019 3:38:45 PM,11/4/2019 11:22:34 AM,11/4/2019 3:58:13 PM,,Approved,Ingage iPayments,
Brew Bird,11/18/2019 12:27:15 PM,8739296850300547,Sarah Voehl,11/18/2019 12:27:15 PM,11/18/2019 3:16:23 PM,11/20/2019 5:05:47 PM,12/29/2021 2:39:17 PM,Closed,Ingage iPayments,
Brew Bird,11/21/2019 11:06:21 AM,8739296850300550,Sarah Voehl,11/21/2019 11:06:21 AM,11/21/2019 3:31:32 PM,11/22/2019 6:07:13 PM,,Approved,Ingage iPayments,
Carbone's Pizzeria,1/27/2020 5:31:26 PM,,Sarah Voehl,1/27/2020 5:31:26 PM,,,,Draft,Ingage iPayments,
Cedar Food & Grill,3/3/2020 9:59:12 AM,8739298425300019,Sarah Voehl,3/3/2020 9:59:12 AM,3/3/2020 11:32:25 AM,3/3/2020 5:06:42 PM,6/17/2020 8:55:51 AM,Closed,Ingage iPayments,
Central Consulting Group,9/16/2020 1:31:13 PM,,Sarah Voehl,9/16/2020 1:31:13 PM,,,,Draft,Ingage iPayments,
Chantclear Pizza Grill - Coon Rapids,11/20/2019 6:43:05 PM,8739296850300573,Sarah Voehl,11/20/2019 6:43:05 PM,12/4/2019 1:21:49 PM,12/4/2019 3:04:53 PM,,Approved,Ingage iPayments,
Chantclear Pizza Grill - Coon Rapids (Online),11/22/2019 5:26:11 PM,8739296850300557,Sarah Voehl,11/22/2019 5:26:11 PM,11/27/2019 3:37:29 PM,11/29/2019 10:10:50 AM,5/21/2020 11:14:58 AM,Closed,Ingage iPayments,
Chanticlear Pizza - Albertville,2/18/2020 1:32:33 PM,8739298425300015,Sarah Voehl,2/18/2020 1:32:33 PM,2/19/2020 12:40:26 PM,2/19/2020 4:03:56 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Andover,11/20/2019 4:59:39 PM,8739296850300554,Sarah Voehl,11/20/2019 4:59:39 PM,11/25/2019 3:26:49 PM,11/26/2019 10:41:40 AM,,Approved,Ingage iPayments,
Chanticlear Pizza - Andover (Online),11/22/2019 5:02:16 PM,8739296850300564,Sarah Voehl,11/22/2019 5:02:16 PM,12/3/2019 9:19:59 AM,12/3/2019 3:38:23 PM,,Approved,Ingage iPayments,
