XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,Philly's Finest,Draft,David Campbell,Merchant Advantage Technologies,7/4/2022 3:08:18 PM,,,7/4/2022 3:08:18 PM,,,
,MA Tech 3.59 CD Template,Draft,David Campbell,Merchant Advantage Technologies,7/4/2022 3:06:59 PM,,,7/4/2022 3:06:59 PM,,,
,Los Parientes Auto Sales,Draft,Andrew Moran,Andrew Moran,7/4/2022 10:02:21 AM,,,7/4/2022 10:02:21 AM,,,
,.,Draft,Andrew Moran,Andrew Moran,7/4/2022 9:38:37 AM,,,7/4/2022 9:38:37 AM,,,
,Alley Cat Package Store,Draft,Joe Howard,"Joe Howard Enterprises, LLC",7/3/2022 4:58:45 PM,,,7/3/2022 4:58:45 PM,,,
,Mickey's Food Store,Draft,Joe Howard,"Joe Howard Enterprises, LLC",7/3/2022 4:48:14 PM,,,7/3/2022 4:48:14 PM,,,
,Broxton Grocery,Draft,Joe Howard,"Joe Howard Enterprises, LLC",7/3/2022 4:34:50 PM,,,7/3/2022 4:34:50 PM,,,
554402000692350,AZ Mobile Vet Surgery Clinic,Approved,Gina Clemmer,Clinic HQ,7/3/2022 3:21:37 PM,7/3/2022 3:57:04 PM,,7/3/2022 3:21:37 PM,7/3/2022 3:21:37 PM,,
,Gray Gauntlet Games,Received,Melissa  Cordova,Binder POS,7/3/2022 1:06:55 PM,,,7/3/2022 1:06:55 PM,7/3/2022 1:16:19 PM,,
,Integrative Endodontics,Received,Angie N/A,Carestack,7/1/2022 8:00:35 PM,,,7/1/2022 8:00:35 PM,7/1/2022 8:03:35 PM,,
,Asia Tasty,Received,April Chiu,Universal General,7/1/2022 7:31:16 PM,,,7/1/2022 7:31:16 PM,7/1/2022 7:31:16 PM,,
,Gadget Garage Slot,Received,Tim Reynolds,HRSS - Swoonlight,7/1/2022 7:04:23 PM,,,7/1/2022 7:04:23 PM,7/1/2022 7:11:11 PM,,
,Magical Pets Den,Received,Tim Reynolds,HRSS - Swoonlight,7/1/2022 6:43:30 PM,,,7/1/2022 6:43:30 PM,7/1/2022 6:51:00 PM,,
