DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
#286 C-Town,6/29/2021 12:01:10 PM,554402040002057,Cole Gassett,6/29/2021 12:01:10 PM,7/27/2021 4:44:26 PM,7/28/2021 11:37:05 AM,,Approved,Cole Gassett - Level 3 Transactions,
#308- M&O,6/29/2021 11:53:29 AM,554402040002073,Cole Gassett,6/29/2021 11:53:29 AM,7/27/2021 4:44:46 PM,7/28/2021 11:50:42 AM,,Approved,Cole Gassett - Level 3 Transactions,
#439- Fill N Save 4,6/29/2021 11:58:07 AM,554402040002065,Cole Gassett,6/29/2021 11:58:07 AM,7/27/2021 4:44:34 PM,7/28/2021 11:44:02 AM,,Approved,Cole Gassett - Level 3 Transactions,
#532- Pride Mart,6/29/2021 10:28:29 AM,554402040002081,Cole Gassett,6/29/2021 10:28:29 AM,7/27/2021 4:45:00 PM,7/28/2021 11:58:17 AM,,Approved,Cole Gassett - Level 3 Transactions,
B&B Auto Sales LLC,8/11/2020 6:04:57 PM,8739296850300980,Cole Gassett,8/11/2020 6:04:57 PM,8/12/2020 4:43:25 PM,8/13/2020 1:30:55 PM,,Approved,Cole Gassett - Level 3 Transactions,
B&B Package,8/11/2020 5:12:29 PM,8739296850300979,Cole Gassett,8/11/2020 5:12:29 PM,8/12/2020 4:51:42 PM,8/13/2020 10:34:04 AM,,Approved,Cole Gassett - Level 3 Transactions,
Barrelhead Wine & Spirits,5/10/2022 10:35:07 AM,,Cole Gassett,5/10/2022 10:35:07 AM,,,,Draft,Cole Gassett - Level 3 Transactions,
Brewer Chain Saw Sales,4/13/2021 4:35:33 PM,8739296850301471,Cole Gassett,4/13/2021 4:35:33 PM,4/14/2021 2:41:10 PM,4/14/2021 5:41:59 PM,,Approved,Cole Gassett - Level 3 Transactions,
C&C Suppliers Janitorial and Food Service,3/9/2021 2:00:23 PM,8739296850301380,Cole Gassett,3/9/2021 2:00:23 PM,3/9/2021 5:18:09 PM,3/10/2021 2:51:49 PM,5/11/2022 7:05:21 PM,Closed,Cole Gassett - Level 3 Transactions,
Candler Collision LLC,2/9/2022 5:48:44 PM,8739299150300013,Cole Gassett,2/9/2022 5:48:44 PM,2/10/2022 5:20:29 PM,2/11/2022 12:12:07 PM,,Approved,Cole Gassett - Level 3 Transactions,
Creative Concepts,11/29/2021 4:04:45 PM,8739299150300001,Cole Gassett,11/29/2021 4:04:45 PM,11/30/2021 10:46:26 AM,11/30/2021 5:11:01 PM,,Approved,Cole Gassett - Level 3 Transactions,
Detmer Automotive Inc,9/8/2021 1:35:20 PM,8739296850301883,Cole Gassett,9/8/2021 1:35:20 PM,9/13/2021 2:04:25 PM,9/13/2021 5:36:18 PM,,Approved,Cole Gassett - Level 3 Transactions,
Detmer Automtive Inc,10/7/2021 9:11:02 AM,554402040002669,Cole Gassett,10/7/2021 9:11:03 AM,10/7/2021 3:51:27 PM,10/7/2021 5:32:49 PM,5/10/2022 4:04:36 PM,Closed,Cole Gassett - Level 3 Transactions,
DiCarlo's Pizza,12/22/2021 5:24:41 PM,8739299150300004,Cole Gassett,12/22/2021 5:24:41 PM,12/23/2021 5:38:05 PM,12/27/2021 10:34:10 AM,,Approved,Cole Gassett - Level 3 Transactions,
"Doss Auto & Agriculture, Inc.",10/21/2020 9:41:58 AM,8739296850301116,Cole Gassett,10/21/2020 9:41:58 AM,10/21/2020 11:38:28 AM,10/21/2020 1:14:14 PM,1/25/2021 11:16:06 AM,Closed,Cole Gassett - Level 3 Transactions,
Electro Door Systems Inc,3/15/2022 1:55:17 PM,8739299150300016,Cole Gassett,3/15/2022 1:55:17 PM,3/17/2022 4:59:01 PM,3/23/2022 12:09:18 PM,,Approved,Cole Gassett - Level 3 Transactions,
Ford Marble & Tile Inc,1/3/2022 1:06:22 PM,8739299150300006,Cole Gassett,1/3/2022 1:06:22 PM,1/6/2022 3:49:52 PM,1/11/2022 10:14:59 AM,,Approved,Cole Gassett - Level 3 Transactions,
Front Porch Freelance,11/1/2021 4:39:07 PM,8739296850302027,Cole Gassett,11/1/2021 4:39:07 PM,11/2/2021 8:17:25 PM,11/3/2021 4:32:54 PM,,Approved,Cole Gassett - Level 3 Transactions,
G and T Towing,8/21/2020 12:07:14 PM,8739296850301005,Cole Gassett,8/21/2020 12:07:14 PM,8/24/2020 1:34:22 PM,8/24/2020 4:56:41 PM,,Approved,Cole Gassett - Level 3 Transactions,
Highland Express,8/26/2021 2:17:45 PM,554402040002420,Cole Gassett,8/26/2021 2:17:45 PM,8/27/2021 1:26:45 PM,8/30/2021 8:55:42 AM,5/10/2022 7:29:07 PM,Closed,Cole Gassett - Level 3 Transactions,
"Jerry Willis Motors, LLC.",7/22/2020 9:52:52 AM,8739296850300939,Cole Gassett,7/22/2020 9:52:52 AM,7/23/2020 11:53:17 AM,7/24/2020 3:14:37 PM,,Approved,Cole Gassett - Level 3 Transactions,
JTS Motors LLC,6/15/2022 4:43:11 PM,8739299150300020,Cole Gassett,6/15/2022 4:43:11 PM,6/17/2022 9:29:47 AM,6/17/2022 1:35:00 PM,,Approved,Cole Gassett - Level 3 Transactions,
Mary's 2,1/26/2022 12:39:09 PM,8739299150300009,Cole Gassett,1/26/2022 12:39:09 PM,1/27/2022 12:54:07 PM,1/27/2022 5:18:30 PM,,Approved,Cole Gassett - Level 3 Transactions,
Mary's Again,8/18/2021 11:03:10 AM,8739296850301823,Cole Gassett,8/18/2021 11:03:10 AM,8/19/2021 11:27:35 AM,8/19/2021 12:39:14 PM,2/2/2022 7:46:46 AM,Closed,Cole Gassett - Level 3 Transactions,
Old Red Cap Liqour,12/17/2020 12:14:45 PM,554402040001216,Cole Gassett,12/17/2020 12:14:45 PM,12/17/2020 1:00:30 PM,12/22/2020 1:16:40 PM,,Approved,Cole Gassett - Level 3 Transactions,
"Parkland Monument Co., Inc",10/15/2021 12:23:05 PM,8739296850302000,Cole Gassett,10/15/2021 12:23:05 PM,10/21/2021 11:44:22 AM,10/21/2021 5:28:39 PM,,Approved,Cole Gassett - Level 3 Transactions,
Property Peddler inc.,6/17/2022 11:47:18 AM,,Cole Gassett,6/17/2022 11:47:18 AM,6/20/2022 4:25:50 PM,,,Pending,Cole Gassett - Level 3 Transactions,
Protouch Automotive,4/14/2022 2:13:35 PM,8739299150300017,Cole Gassett,4/14/2022 2:13:35 PM,4/15/2022 12:07:32 PM,4/18/2022 4:16:19 PM,,Approved,Cole Gassett - Level 3 Transactions,
Rascals Water Valley,9/17/2020 11:35:13 AM,554402040001000,Cole Gassett,9/17/2020 11:35:13 AM,10/15/2020 11:36:29 AM,10/15/2020 12:37:52 PM,,Approved,Cole Gassett - Level 3 Transactions,
Reinhardt's Restaurant and Lounge,3/23/2021 2:30:45 PM,8739296850301416,Cole Gassett,3/23/2021 2:30:46 PM,3/24/2021 10:29:47 AM,3/24/2021 1:13:02 PM,,Approved,Cole Gassett - Level 3 Transactions,
Ruma Small Engine Repair Inc,7/7/2021 12:53:53 PM,8739296850301716,Cole Gassett,7/7/2021 12:53:53 PM,7/12/2021 10:59:27 AM,7/12/2021 1:01:58 PM,,Approved,Cole Gassett - Level 3 Transactions,
Speed-e-way Printing Service,2/5/2021 12:55:09 PM,8739296850301311,Cole Gassett,2/5/2021 12:55:09 PM,2/8/2021 11:15:05 AM,2/11/2021 11:04:53 AM,,Approved,Cole Gassett - Level 3 Transactions,
Square One Flooring Inc,1/10/2022 1:54:26 PM,8739299150300007,Cole Gassett,1/10/2022 1:54:26 PM,1/11/2022 4:03:01 PM,1/13/2022 1:29:30 PM,1/14/2022 11:19:55 AM,Approved,Cole Gassett - Level 3 Transactions,
The Bale Out,8/19/2021 11:38:43 AM,8739296850301841,Cole Gassett,8/19/2021 11:38:43 AM,8/24/2021 10:31:07 AM,8/27/2021 1:08:38 PM,,Approved,Cole Gassett - Level 3 Transactions,
The Dent Co.,6/21/2022 5:26:42 PM,8739299150300021,Cole Gassett,6/21/2022 5:26:42 PM,6/22/2022 5:24:15 PM,6/23/2022 11:37:47 AM,,Approved,Cole Gassett - Level 3 Transactions,
The Mill,8/27/2021 1:02:45 PM,8739296850301856,Cole Gassett,8/27/2021 1:02:45 PM,8/31/2021 3:41:29 PM,8/31/2021 5:18:26 PM,,Approved,Cole Gassett - Level 3 Transactions,
Trenton Floral Designs,9/24/2021 11:00:18 AM,8739296850301926,Cole Gassett,9/24/2021 11:00:18 AM,9/24/2021 11:58:27 AM,9/27/2021 11:14:07 AM,,Approved,Cole Gassett - Level 3 Transactions,
Valentine Auto Body LLC,3/15/2022 3:18:18 PM,8739299150300015,Cole Gassett,3/15/2022 3:18:18 PM,3/16/2022 11:21:30 AM,3/17/2022 9:40:59 AM,,Approved,Cole Gassett - Level 3 Transactions,
Viper Trailer World LLC,3/11/2021 4:56:15 PM,8739296850301391,Cole Gassett,3/11/2021 4:56:16 PM,3/12/2021 11:01:22 AM,3/12/2021 5:58:45 PM,,Approved,Cole Gassett - Level 3 Transactions,
Voss' Hometown Auto Repair Inc,10/8/2021 10:55:43 AM,8739296850301960,Cole Gassett,10/8/2021 10:55:43 AM,10/11/2021 11:23:48 AM,10/11/2021 1:28:11 PM,,Approved,Cole Gassett - Level 3 Transactions,
Watermill Inc,3/31/2021 9:24:58 AM,8739296850301444,Cole Gassett,3/31/2021 9:24:58 AM,4/1/2021 10:25:04 AM,4/2/2021 12:39:30 PM,4/5/2021 8:48:42 AM,Approved,Cole Gassett - Level 3 Transactions,
Yardley Automotive,1/31/2022 2:31:21 PM,8739299150300012,Cole Gassett,1/31/2022 2:31:21 PM,2/7/2022 12:16:08 PM,2/7/2022 4:20:25 PM,,Approved,Cole Gassett - Level 3 Transactions,
