DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Advanced Valve & Instrument,10/8/2014 10:47:48 PM,554402000113001,Tom Ellison,10/8/2014 10:47:48 PM,10/8/2014 11:57:20 PM,10/13/2014 1:06:45 PM,10/30/2020 7:44:09 AM,Closed,E-Innovations 2,
AED Brands,1/15/2021 4:44:23 PM,554402000623082,Tom  Ellison,1/15/2021 4:44:23 PM,1/15/2021 5:14:52 PM,1/25/2021 2:54:50 PM,,Approved,E-Innovations 2,
AED Brands,1/27/2021 11:20:41 AM,8739294500300021,Tom  Ellison,1/27/2021 11:20:41 AM,1/27/2021 11:45:51 AM,1/27/2021 5:59:40 PM,1/28/2021 2:48:18 PM,Closed,E-Innovations 2,
Airpro Mobile Air LLC,12/15/2011 11:24:43 AM,518089240543512,Tom Ellison,12/15/2011 11:24:43 AM,12/15/2011 11:39:41 AM,12/20/2011 5:26:12 PM,2/18/2016 5:57:01 PM,Closed,E-Innovations 2,
AlphaGraphics Pineville 2,8/2/2012 4:23:39 PM,518089240628263,Tom  Ellison,8/2/2012 4:23:39 PM,10/8/2012 12:20:08 PM,10/9/2012 10:49:22 AM,4/22/2015 10:52:27 AM,Closed,E-Innovations 2,
American Metals Inc,3/4/2013 1:51:34 PM,518089240666271,Tom  Ellison,3/4/2013 1:51:34 PM,3/4/2013 2:10:49 PM,3/4/2013 9:14:54 PM,,Approved,E-Innovations 2,
Atlantic Pump & Equipment,2/29/2016 4:34:36 PM,554402000320093,Tom  Ellison,2/29/2016 4:34:36 PM,3/1/2016 11:55:28 AM,3/1/2016 6:06:49 PM,,Approved,E-Innovations 2,
Atlas Converting,7/19/2017 1:36:36 PM,554402000407833,Tom  Ellison,7/19/2017 1:36:36 PM,7/19/2017 2:05:02 PM,7/28/2017 3:29:25 PM,,Approved,E-Innovations 2,
Balloon Country 2,2/1/2013 5:56:08 PM,518089240657882,Tom Ellison,2/1/2013 5:56:10 PM,2/1/2013 6:02:48 PM,2/4/2013 1:56:32 PM,,Approved,E-Innovations 2,
"BECCA, Inc.",3/17/2022 2:35:36 PM,554402000680249,Tom  Ellison,3/17/2022 2:35:36 PM,3/17/2022 4:07:41 PM,3/25/2022 11:40:57 AM,,Approved,E-Innovations 2,
