DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Arnold’s Country Kitchen,8/5/2021 5:23:28 PM,554402040002131,Soroush Jafari,8/5/2021 5:23:28 PM,8/6/2021 3:35:30 PM,8/9/2021 10:01:48 AM,,Approved,Soroush Jafari,
Auto Speed Inc,11/30/2021 8:24:19 PM,554402040002842,Soroush Jafari,11/30/2021 8:24:19 PM,11/30/2021 8:40:11 PM,12/1/2021 12:49:46 PM,1/6/2022 7:06:45 PM,Closed,Soroush Jafari,
El Jardin 2,5/27/2022 5:15:32 PM,554402040003444,Soroush Jafari,5/27/2022 5:15:32 PM,5/27/2022 5:33:46 PM,5/30/2022 1:34:34 PM,,Approved,Soroush Jafari,
El Jardin Mexican Restaurant,8/29/2021 3:15:16 PM,554402040002479,Soroush Jafari,8/29/2021 3:15:16 PM,8/29/2021 3:36:14 PM,8/30/2021 1:51:22 PM,,Approved,Soroush Jafari,
El Monte Mexican Restaurant,1/15/2022 2:10:57 PM,554402040003022,Soroush Jafari,1/15/2022 2:10:57 PM,1/15/2022 3:12:41 PM,1/17/2022 2:13:15 PM,,Approved,Soroush Jafari,
El Paso Mexican Restaurant,2/10/2022 1:42:02 PM,554402040003196,Soroush Jafari,2/10/2022 1:42:02 PM,2/10/2022 1:53:52 PM,2/10/2022 5:45:55 PM,,Approved,Soroush Jafari,
Fat Mo's Burgers,5/17/2022 12:46:44 PM,8739296850302485,Soroush Jafari,5/17/2022 12:46:44 PM,5/17/2022 1:20:46 PM,5/17/2022 5:31:48 PM,,Approved,Soroush Jafari,
Flores Super Deli,4/6/2021 1:02:37 PM,8739296850301473,Soroush Jafari,4/6/2021 1:02:37 PM,4/15/2021 1:29:51 PM,4/15/2021 3:07:35 PM,,Approved,Soroush Jafari,
Flores Super Deli 2,9/18/2021 3:35:39 PM,8739296850301901,Soroush Jafari,9/18/2021 3:35:40 PM,9/18/2021 4:21:05 PM,9/20/2021 1:48:15 PM,,Approved,Soroush Jafari,
Jardin Mexican Restaurant,7/16/2021 12:04:55 PM,554402040002016,Soroush Jafari,7/16/2021 12:04:55 PM,7/19/2021 9:42:57 AM,7/19/2021 11:46:45 AM,,Approved,Soroush Jafari,
Kabab Gyro,7/5/2021 12:33:25 PM,554402040001992,Soroush Jafari,7/5/2021 12:33:25 PM,7/6/2021 12:32:09 PM,7/6/2021 3:53:48 PM,,Approved,Soroush Jafari,
King's Ole Country Store,3/6/2022 6:19:45 PM,554402040003287,Soroush Jafari,3/6/2022 6:19:45 PM,3/6/2022 6:38:31 PM,3/7/2022 6:30:04 PM,4/19/2022 10:21:12 AM,Closed,Soroush Jafari,
King's Ole Country Store,4/18/2022 3:34:14 PM,8739296850302411,Soroush Jafari,4/18/2022 3:34:15 PM,4/18/2022 4:16:08 PM,4/20/2022 11:14:15 AM,6/14/2022 9:59:40 AM,Closed,Soroush Jafari,
La Plaza 1,2/10/2022 12:45:23 PM,554402040003204,Soroush Jafari,2/10/2022 12:45:23 PM,2/10/2022 1:05:17 PM,2/10/2022 5:53:53 PM,,Approved,Soroush Jafari,
La PLaza Mexican Restaurant 3,2/10/2022 1:19:40 PM,554402040003188,Soroush Jafari,2/10/2022 1:19:40 PM,2/10/2022 1:33:17 PM,2/10/2022 5:29:13 PM,,Approved,Soroush Jafari,
La Villa Mexican Grill & Seafood,1/17/2022 3:42:15 PM,554402040003030,Soroush Jafari,1/17/2022 3:42:16 PM,1/17/2022 4:10:31 PM,1/18/2022 1:33:50 PM,5/24/2022 4:52:49 PM,Closed,Soroush Jafari,
Las Plazas 2,8/29/2021 3:49:37 PM,554402040002461,Soroush Jafari,8/29/2021 3:49:37 PM,8/29/2021 4:08:07 PM,8/30/2021 1:13:36 PM,,Approved,Soroush Jafari,
Las Plazas Mexican Restaurant,8/29/2021 1:26:16 PM,554402040002453,Soroush Jafari,8/29/2021 1:26:16 PM,8/29/2021 1:58:20 PM,8/30/2021 12:48:52 PM,,Approved,Soroush Jafari,
McEwen Steakhouse,8/29/2021 4:20:02 PM,554402040002487,Soroush Jafari,8/29/2021 4:20:02 PM,8/29/2021 4:42:05 PM,8/30/2021 2:18:00 PM,,Approved,Soroush Jafari,
Milano 1 Roma Pizza 1 House of Veggies,11/1/2021 1:42:20 PM,8739296850302023,Soroush Jafari,11/1/2021 1:42:20 PM,11/1/2021 2:13:12 PM,11/1/2021 5:16:10 PM,5/4/2022 2:15:04 PM,Closed,Soroush Jafari,
Milano's 1 Roma Pizza,3/29/2022 11:33:10 AM,8739296850302387,Soroush Jafari,3/29/2022 11:33:10 AM,3/29/2022 12:09:00 PM,3/29/2022 4:54:22 PM,,Approved,Soroush Jafari,
Nu9ve Cantina & Steakhouse,7/1/2022 12:25:28 PM,,Soroush Jafari,7/1/2022 12:25:28 PM,7/1/2022 1:11:44 PM,,,Received,Soroush Jafari,
Precision Auto sales And Service,6/18/2022 3:37:48 PM,8739296850302546,Soroush Jafari,6/18/2022 3:37:50 PM,6/19/2022 12:52:57 PM,6/21/2022 1:58:11 AM,,Approved,Soroush Jafari,
Salvo's Pizza,1/27/2022 3:46:01 PM,8739296850302243,Soroush Jafari,1/27/2022 3:46:01 PM,1/27/2022 4:25:56 PM,1/28/2022 3:05:56 PM,,Approved,Soroush Jafari,
Something Special,8/31/2021 1:11:40 PM,8739296850301855,Soroush Jafari,8/31/2021 1:11:40 PM,8/31/2021 2:04:36 PM,8/31/2021 4:10:07 PM,,Approved,Soroush Jafari,
"SuperMercado La Popular No. 2, Inc.",2/26/2022 11:59:25 AM,554402040003253,Soroush Jafari,2/26/2022 11:59:25 AM,2/28/2022 12:03:02 PM,2/28/2022 7:41:51 PM,3/22/2022 9:41:26 AM,Closed,Soroush Jafari,
The Rudder At Anchor High Marina,5/18/2022 11:59:42 AM,8739296850302488,Soroush Jafari,5/18/2022 11:59:42 AM,5/18/2022 4:30:55 PM,5/19/2022 7:05:55 AM,,Approved,Soroush Jafari,
Trans Auto LLC.,10/4/2021 11:32:13 AM,554402040002651,Soroush Jafari,10/4/2021 11:32:13 AM,10/4/2021 12:27:15 PM,10/4/2021 5:25:29 PM,,Approved,Soroush Jafari,
