XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,Bielong Engine & Automotive Repair,Draft,Cole Gassett,Cole Gassett - Level 3 Transactions,7/22/2022 1:38:00 PM,,,7/22/2022 1:38:00 PM,,,
,HOOK SERVICE COMPANY LLC,Draft,Shanqueena Harris,Shanqueena Harris,7/22/2022 1:27:31 PM,,,7/22/2022 1:27:31 PM,,,
,teppidmusclegummies.com,Received,Seth Proper,HRSUB - MerchantX LLC,7/22/2022 1:19:36 PM,,,7/22/2022 1:19:36 PM,7/22/2022 1:20:32 PM,,
,teppidketogummies.com,Received,Seth Proper,HRSUB - MerchantX LLC,7/22/2022 1:14:54 PM,,,7/22/2022 1:14:54 PM,7/22/2022 1:16:13 PM,,
,CALDWELLS FURNITURE AND BEDDING,Draft,Anthony Bilotti,Anthony Bilotti American 6.19,7/22/2022 1:14:04 PM,,,7/22/2022 1:14:04 PM,,,
,Coastal Waste & Recycling,Received,Adam Belcher,Meridian Blue Solutions,7/22/2022 1:12:50 PM,,,7/22/2022 1:12:50 PM,7/22/2022 1:31:03 PM,,
,teppidbraingummies.com,Received,Seth Proper,HRSUB - MerchantX LLC,7/22/2022 12:59:59 PM,,,7/22/2022 12:59:59 PM,7/22/2022 1:09:53 PM,,
,Pyro Tech Unlimited,Received,Josh Dempsey,Enhanced Payment Systems LLC,7/22/2022 12:46:41 PM,,,7/22/2022 12:46:41 PM,7/22/2022 12:47:48 PM,,
,Sunny Summers Cafe,Draft,Carla Raines,Proudly,7/22/2022 12:46:34 PM,,,7/22/2022 12:46:34 PM,,,
,Jimmy Auto Mufflers,Draft,Mustafa Ghulam,SCORE - Mustafa/CD,7/22/2022 12:43:47 PM,,,7/22/2022 12:43:47 PM,,,
,composeddynamicclearpr,Received,Emily Welling,8915267,7/22/2022 12:29:58 PM,,,7/22/2022 12:29:58 PM,7/22/2022 12:32:20 PM,,
,Lamar Little Auto Paint & Body,Received,Josh Dempsey,Enhanced Payment Systems LLC,7/22/2022 12:14:49 PM,,,7/22/2022 12:14:49 PM,7/22/2022 12:16:06 PM,,
,TOURBEAVER,Draft,Andrew Pollina,Andrew Pollina,7/22/2022 12:01:39 PM,,,7/22/2022 12:01:39 PM,,,
,GENEVA DISCOUNT FURNITURE,Received,Heather Schiefert,SignaPay MN,7/22/2022 11:47:59 AM,,,7/22/2022 11:47:59 AM,7/22/2022 12:03:24 PM,,
,passiveorganizedmanage,Received,Emily Welling,8915267,7/22/2022 11:47:10 AM,,,7/22/2022 11:47:10 AM,7/22/2022 11:51:40 AM,,
,SPA WORLD,Draft,Andres Roh,Haru Payments,7/22/2022 11:45:54 AM,,,7/22/2022 11:45:54 AM,,,
,Tortugas Pizza Hoover,Draft,Steve Hicks,30A Connections,7/22/2022 11:32:41 AM,,,7/22/2022 11:32:42 AM,,,
,HEALTHY KITCHEN 33 INC,Received,Wilfredo  Leguisamon,Wilfredo Leguisamon,7/22/2022 11:27:18 AM,,,7/22/2022 11:27:18 AM,7/22/2022 11:42:04 AM,,
,ASIAN SPA,Draft,Fu Zhou,TEAM FZ (CD),7/22/2022 11:25:31 AM,,,7/22/2022 11:25:31 AM,,,
,Tortugas Pizza Railroad Park,Draft,Steve Hicks,30A Connections,7/22/2022 11:25:29 AM,,,7/22/2022 11:25:29 AM,,,
,MEDICAL MARIJUANA HEALTH CENTER OF SHREVEPORT BOSS,Received,Nevada Coastal,Nevada Coastal,7/22/2022 11:24:49 AM,,,7/22/2022 11:24:49 AM,7/22/2022 11:35:39 AM,,
